chapter,verse,scripture
1,26,"Then God said, \"Let us make man in our image, after our likeness. And let them have dominion over the fish of the sea and over the birds of the heavens and over the livestock and over all the earth and over every creeping thing that creeps on the earth.\""
1,27,"So God created man in his own image, in the image of God he created him; male and female he created them."
1,28,"And God blessed them. And God said to them, \"Be fruitful and multiply and fill the earth and subdue it and have dominion over the fish of the sea and over the birds of the heavens and over every living thing that moves on the earth.\""
1,29,"And God said, \"Behold, I have given you every plant yielding seed that is on the face of all the earth, and every tree with seed in its fruit. You shall have them for food."
1,30,"And to every beast of the earth and to every bird of the heavens and to everything that creeps on the earth, everything that has the breath of life, I have given every green plant for food.\" And it was so."
1,31,"And God saw everything that he had made, and behold, it was very good. And there was evening and there was morning, the sixth day."
2,1,"Thus the heavens and the earth were finished, and all the host of them."
2,2,"And on the seventh day God finished his work that he had done, and he rested on the seventh day from all his work that he had done."
2,3,"So God blessed the seventh day and made it holy, because on it God rested from all his work that he had done in creation."
2,4,"These are the generations of the heavens and the earth when they were created, in the day that the LORD God made the earth and the heavens."
2,5,"When no bush of the field was yet in the land and no small plant of the field had yet sprung up--for the LORD God had not caused it to rain on the land, and there was no man to work the ground,"
2,6,"and a mist was going up from the land and was watering the whole face of the ground--"
2,7,"then the LORD God formed the man of dust from the ground and breathed into his nostrils the breath of life, and the man became a living creature."
2,8,"And the LORD God planted a garden in Eden, in the east, and there he put the man whom he had formed."
2,9,"And out of the ground the LORD God made to spring up every tree that is pleasant to the sight and good for food. The tree of life was in the midst of the garden, and the tree of the knowledge of good and evil."
2,10,"A river flowed out of Eden to water the garden, and there it divided and became four rivers."
2,11,"The name of the first is the Pishon. It is the one that flowed around the whole land of Havilah, where there is gold."
2,12,"And the gold of that land is good; bdellium and onyx stone are there."
2,13,"The name of the second river is the Gihon. It is the one that flowed around the whole land of Cush."
2,14,"And the name of the third river is the Tigris, which flows east of Assyria. And the fourth river is the Euphrates."
2,15,"The LORD God took the man and put him in the garden of Eden to work it and keep it."
2,16,"And the LORD God commanded the man, saying, \"You may surely eat of every tree of the garden,"
2,17,"but of the tree of the knowledge of good and evil you shall not eat, for in the day that you eat of it you shall surely die.\""
2,18,"Then the LORD God said, \"It is not good that the man should be alone; I will make him a helper fit for him.\""
2,19,"So out of the ground the LORD God formed every beast of the field and every bird of the heavens and brought them to the man to see what he would call them. And whatever the man called every living creature, that was its name."
2,20,"The man gave names to all livestock and to the birds of the heavens and to every beast of the field. But for Adam there was not found a helper fit for him."
2,21,"So the LORD God caused a deep sleep to fall upon the man, and while he slept took one of his ribs and closed up its place with flesh."
2,22,"And the rib that the LORD God had taken from the man he made into a woman and brought her to the man."
2,23,"Then the man said, \"This at last is bone of my bones and flesh of my flesh; she shall be called Woman, because she was taken out of Man.\""
2,24,"Therefore a man shall leave his father and his mother and hold fast to his wife, and they shall become one flesh."
2,25,"And the man and his wife were both naked and were not ashamed."
3,1,"Now the serpent was more crafty than any other beast of the field that the LORD God had made.He said to the woman, \"Did God actually say, 'You shall not eat of any tree in the garden'?\""
3,2,"And the woman said to the serpent, \"We may eat of the fruit of the trees in the garden,"
3,3,"but God said, 'You shall not eat of the fruit of the tree that is in the midst of the garden, neither shall you touch it, lest you die.'\""
3,4,"But the serpent said to the woman, \"You will not surely die."
3,5,"For God knows that when you eat of it your eyes will be opened, and you will be like God, knowing good and evil.\""
3,6,"So when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of its fruit and ate, and she also gave some to her husband who was with her, and he ate."
3,7,"Then the eyes of both were opened, and they knew that they were naked. And they sewed fig leaves together and made themselves loincloths."
3,8,"And they heard the sound of the LORD God walking in the garden in the cool of the day, and the man and his wife hid themselves from the presence of the LORD God among the trees of the garden."
3,9,"But the LORD God called to the man and said to him, \"Where are you?\""
3,10,"And he said, \"I heard the sound of you in the garden, and I was afraid, because I was naked, and I hid myself.\""
3,11,"He said, \"Who told you that you were naked? Have you eaten of the tree of which I commanded you not to eat?\""
3,12,"The man said, \"The woman whom you gave to be with me, she gave me fruit of the tree, and I ate.\""
3,13,"Then the LORD God said to the woman, \"What is this that you have done?\" The woman said, \"The serpent deceived me, and I ate.\""
3,14,"The LORD God said to the serpent, \"Because you have done this, cursed are you above all livestock and above all beasts of the field; on your belly you shall go, and dust you shall eat all the days of your life."
3,15,"I will put enmity between you and the woman, and between your offspring and her offspring; he shall bruise your head, and you shall bruise his heel.\""
3,16,"To the woman he said, \"I will surely multiply your pain in childbearing; in pain you shall bring forth children. Your desire shall be for your husband, and he shall rule over you.\""
3,17,"And to Adam he said, \"Because you have listened to the voice of your wife and have eaten of the tree of which I commanded you, 'You shall not eat of it,' cursed is the ground because of you; in pain you shall eat of it all the days of your life;"
3,18,"thorns and thistles it shall bring forth for you; and you shall eat the plants of the field."
3,19,"By the sweat of your face you shall eat bread, till you return to the ground, for out of it you were taken; for you are dust, and to dust you shall return.\""
3,20,"The man called his wife's name Eve, because she was the mother of all living."
3,21,"And the LORD God made for Adam and for his wife garments of skins and clothed them."
3,22,"Then the LORD God said, \"Behold, the man has become like one of us in knowing good and evil. Now, lest he reach out his hand and take also of the tree of life and eat, and live forever--\""
3,23,"therefore the LORD God sent him out from the garden of Eden to work the ground from which he was taken."
3,24,"He drove out the man, and at the east of the garden of Eden he placed the cherubim and a flaming sword that turned every way to guard the way to the tree of life."
4,
